Entry	Entry name	Protein names	Status	Gene names  (primary )
Q9BXM7	PINK1_HUMAN	Serine/threonine-protein kinase PINK1, mitochondrial (EC 2.7.11.1) (BRPK) (PTEN-induced putative kinase protein 1)	reviewed	PINK1
Q99MQ3	PINK1_MOUSE	Serine/threonine-protein kinase PINK1, mitochondrial (EC 2.7.11.1) (BRPK) (PTEN-induced putative kinase protein 1)	reviewed	Pink1
Q0KHV6	Q0KHV6_DROME	FI19430p1 (PTEN-induced putative kinase 1, isoform A) (PTEN-induced putative kinase 1, isoform B) (PTEN-induced putative kinase 1, isoform C) (PTEN-induced putative kinase 1, isoform D) (PTEN-induced putative kinase 1, isoform E) (EC 2.7.11.-) (PTEN-induced putative kinase 1, isoform F) (PTEN-induced putative kinase 1, isoform G) (PTEN-induced putative kinase 1, isoform H) (PTEN-induced putative kinase 1, isoform I)	unreviewed	Pink1
B5DFG1	B5DFG1_RAT	PTEN-induced putative kinase 1 (Pink1 protein)	unreviewed	Pink1
Q09298	PINK1_CAEEL	Serine/threonine-protein kinase pink-1, mitochondrial (EC 2.7.11.1) (PTEN-induced kinase 1 homolog)	reviewed	pink-1
A5PJP5	A5PJP5_BOVIN	PINK1 protein (PTEN induced putative kinase 1)	unreviewed	PINK1
F7H674	F7H674_MACMU	PTEN induced putative kinase 1 (Serine/threonine-protein kinase PINK1, mitochondrial)	unreviewed	PINK1
H2PY88	H2PY88_PANTR	PTEN induced putative kinase 1	unreviewed	PINK1
E2RCD1	E2RCD1_CANLF	PTEN induced putative kinase 1	unreviewed	PINK1
F1SU10	F1SU10_PIG	PTEN induced putative kinase 1	unreviewed	PINK1
M3VVE8	M3VVE8_FELCA	PTEN induced putative kinase 1	unreviewed	PINK1
F6Y023	F6Y023_HORSE	PTEN induced putative kinase 1	unreviewed	PINK1
F7FR77	F7FR77_MONDO	PTEN induced putative kinase 1	unreviewed	PINK1
H2N8R0	H2N8R0_PONAB	PTEN induced putative kinase 1	unreviewed	PINK1
H0X8F0	H0X8F0_OTOGA	PTEN induced putative kinase 1	unreviewed	PINK1
G1SQQ8	G1SQQ8_RABIT	PTEN induced putative kinase 1	unreviewed	PINK1
G1PI55	G1PI55_MYOLU	PTEN induced putative kinase 1	unreviewed	PINK1
G3W205	G3W205_SARHA	PTEN induced putative kinase 1	unreviewed	PINK1
H0VU48	H0VU48_CAVPO	PTEN induced putative kinase 1	unreviewed	PINK1
H1A3D9	H1A3D9_TAEGU	PTEN induced putative kinase 1	unreviewed	PINK1
F7EU91	F7EU91_CALJA	PTEN induced putative kinase 1	unreviewed	PINK1
G1L8D9	G1L8D9_AILME	PTEN induced putative kinase 1	unreviewed	PINK1
A0A0D9S8C2	A0A0D9S8C2_CHLSB	PTEN induced putative kinase 1	unreviewed	PINK1
A0A096NZ31	A0A096NZ31_PAPAN	PTEN induced putative kinase 1	unreviewed	PINK1
I3MQ55	I3MQ55_ICTTR	PTEN induced putative kinase 1	unreviewed	PINK1
M3YXD5	M3YXD5_MUSPF	PTEN induced putative kinase 1	unreviewed	PINK1
W8BGA2	W8BGA2_CERCA	Serine/threonine-protein kinase PINK1, mitochondrial	unreviewed	PINK1
A0A0A9X0X9	A0A0A9X0X9_LYGHE	Serine/threonine-protein kinase PINK1, mitochondrial	unreviewed	Pink1_0
A0A0B2UVK5	A0A0B2UVK5_TOXCA	Serine/threonine-protein kinase pink-1, mitochondrial	unreviewed	pink-1
A0A0X3P326	A0A0X3P326_SCHSO	Serine/threonine-protein kinase PINK1	unreviewed	PINK1
A0A0X3NSC3	A0A0X3NSC3_SCHSO	Serine/threonine-protein kinase PINK1 (Serine/threonine-protein kinase pink-1)	unreviewed	PINK1
A0A0K8V6D0	A0A0K8V6D0_BACLA	Serine/threonine-protein kinase PINK1, mitochondrial	unreviewed	PINK1_1
V5G2L1	V5G2L1_ANOGL	Serine/threonine-protein kinase PINK1, mitochondrial	unreviewed	PINK1
A0A0B2VW24	A0A0B2VW24_TOXCA	Serine/threonine-protein kinase pink-1, mitochondrial	unreviewed	pink-1
E3M4K9	E3M4K9_CAERE	CRE-PINK-1 protein	unreviewed	Cre-pink-1
U3FHM8	U3FHM8_CALJA	Serine/threonine-protein kinase PINK1, mitochondrial	unreviewed	PINK1
F7EWF0	F7EWF0_MACMU	PTEN induced putative kinase 1	unreviewed	PINK1
F7HEJ2	F7HEJ2_CALJA	PTEN induced putative kinase 1	unreviewed	PINK1
H9F4I5	H9F4I5_MACMU	Serine/threonine-protein kinase PINK1, mitochondrial (Fragment)	unreviewed	PINK1
G3SHB7	G3SHB7_GORGO	PTEN induced putative kinase 1	unreviewed	PINK1
G3RF52	G3RF52_GORGO	PTEN induced putative kinase 1	unreviewed	PINK1
W5PH75	W5PH75_SHEEP	PTEN induced putative kinase 1	unreviewed	PINK1
A0A193H6R5	A0A193H6R5_PAPHA	PTEN induced putative kinase 1	unreviewed	PINK1
G3W206	G3W206_SARHA	PTEN induced putative kinase 1	unreviewed	PINK1
A0A096N783	A0A096N783_PAPAN	PTEN induced putative kinase 1	unreviewed	PINK1
A0A1U7TDF4	A0A1U7TDF4_TARSY	serine/threonine-protein kinase PINK1, mitochondrial	unreviewed	PINK1
A0A1S3AFR3	A0A1S3AFR3_ERIEU	serine/threonine-protein kinase PINK1, mitochondrial	unreviewed	PINK1
U6DCG1	U6DCG1_NEOVI	Serine/threonine-protein kinase PINK1, mitochondrial (Fragment)	unreviewed	PINK1
G3UI56	G3UI56_LOXAF	PTEN induced putative kinase 1	unreviewed	PINK1
G3TBJ9	G3TBJ9_LOXAF	PTEN induced putative kinase 1	unreviewed	PINK1
U3NGQ0	U3NGQ0_CAEEL	Pten induced putative kinase I (EC 2.7.11.1) (Fragment)	unreviewed	pink-1
A0A0H5S824	A0A0H5S824_BRUMA	BMA-PINK-1	unreviewed	bma-pink-1
A0A0C9QG46	A0A0C9QG46_9HYME	Pink1_1 protein	unreviewed	Pink1_1
A0A0C9R6K9	A0A0C9R6K9_9HYME	Pink1_0 protein	unreviewed	Pink1_0
A0A0A9X3Z2	A0A0A9X3Z2_LYGHE	Serine/threonine-protein kinase PINK1, mitochondrial (Fragment)	unreviewed	Pink1_1
A0A034VJS8	A0A034VJS8_BACDO	Serine/threonine-protein kinase PINK1, mitochondrial	unreviewed	PINK1
A0A0A9Y2P9	A0A0A9Y2P9_LYGHE	Serine/threonine-protein kinase PINK1, mitochondrial (Fragment)	unreviewed	Pink1_3
A8WUG0	A8WUG0_CAEBR	Protein CBR-PINK-1 (Fragment)	unreviewed	brap-2
A0A0K8UMI6	A0A0K8UMI6_BACLA	Serine/threonine-protein kinase PINK1, mitochondrial	unreviewed	PINK1_10
A0A0A9WAT5	A0A0A9WAT5_LYGHE	Serine/threonine-protein kinase PINK1, mitochondrial	unreviewed	Pink1_2
A0A146KKU6	A0A146KKU6_LYGHE	Serine/threonine-protein kinase PINK1, mitochondrial	unreviewed	Pink1
Q961J3	Q961J3_DROME	GH20931p	unreviewed	Pink1
A0A0A1XEZ6	A0A0A1XEZ6_BACCU	Serine/threonine-protein kinase PINK1, mitochondrial	unreviewed	PINK1
G0NAZ5	G0NAZ5_CAEBE	CBN-PINK-1 protein	unreviewed	Cbn-pink-1
